IBM,JPM,GE
89.05,35.0,28.48
89.6,35.55,28.52
90.0,36.15,29.15
90.71,35.9,28.95
89.9,36.22,29.05
89.6849,36.3,28.81
88.52,36.5624,28.41
88.33,36.54,28.3
89.4,36.34,28.54
89.548,36.01,28.2301
90.0,35.55,28.15
89.45,36.1,28.12
90.4,35.81,28.6
91.02,35.7,28.25
89.9,35.2,27.67
89.92,35.4161,28.42
88.32,34.89,29.0
89.3,34.74,29.12
88.4,34.85,29.08
89.03,35.17,28.81
89.66,35.1511,28.77
89.79,35.3,29.11
89.9,35.3,28.85
90.9,35.61,29.2
90.57,35.7,29.03
91.1503,35.81,29.59
90.05,35.65,29.4
91.3,35.168,29.16
90.52,34.73,29.15
91.15,35.46,29.5
90.69,34.76,29.65
91.96,34.8187,29.7396
92.7,35.16,30.2814
93.43,35.5,30.59
92.11,35.4,30.42
93.85,35.73,30.65
93.0,35.74,30.87
93.23,35.75,30.89
92.83,35.77,30.8
93.07,36.06,30.9498
92.8,36.1779,31.05
92.37,36.27,30.89
93.1,36.27,30.7
93.27,36.54,30.83
92.66,36.8,30.63
92.86,36.56,31.0
92.0,36.66,31.24
92.2,37.15,31.4195
93.14,37.5,31.3508
93.21,38.1,31.86
91.75,38.4,31.65
91.21,38.5,31.95
91.45,38.8,32.01
89.9,39.08,31.79
95.07,39.85,32.07
95.0,39.0,32.4
96.0,39.4,33.75
97.23,39.09,33.47
97.84,40.04,33.98
97.82,39.94,33.65
97.9,39.45,33.48
99.4,40.15,34.25
99.15,40.0,34.3
98.1,39.17,34.0
98.02,39.05,33.86
99.15,39.1,33.6884
99.0,39.1,33.66
99.38,39.12,33.06
100.0,39.11,33.31
98.8564,39.0,33.27
99.31,39.85,33.35
98.45,39.43,33.17
99.2,39.58,32.5
100.06,40.22,33.15
99.1,40.47,33.0
99.99,40.42,33.08
99.31,40.67,33.05
98.42,40.734,33.0
98.6,40.82,32.79
97.4,40.58,32.75
95.1964,40.1,33.41
96.5,40.4,33.3
96.2617,40.35,32.722
96.8,40.66,32.75
96.5029,41.23,32.69
97.6,41.42,32.93
96.57,41.68,32.46
96.58,42.0,32.7
95.9539,42.6,32.65
96.49,43.04,32.5
94.3,42.94,31.59
94.38,42.49,31.64
92.0,41.75,30.92
92.0,41.351,30.63
92.6,41.2802,30.85
92.4,41.15,30.65
92.57,41.69,30.6
93.05,41.8,30.63
92.86,42.02,30.6225
91.27,41.25,29.94
91.6,41.15,29.79
91.57,40.99,29.05
92.15,40.85,29.21
92.39,41.3,30.25
92.99,41.47,30.58
92.6804,42.06,30.45
92.07,42.09,30.68
91.67,41.95,30.42
93.55,42.5,30.91
93.95,41.28,30.98
93.5996,41.6,31.48
93.37,41.5,31.66
94.0,41.75,31.7771
93.5,41.16,31.55
93.79,41.64,31.69
92.1008,39.66,30.65
93.8,39.34,30.7
92.3,39.02,30.88
91.9,39.25,31.18
92.0,39.42,31.15
91.15,38.54,30.55
90.5,37.7,30.5
90.9924,38.4,31.0
90.75,38.31,30.85
90.65,38.56,30.92
90.3,38.55,30.35
90.01,37.97,30.15
89.01,37.8,30.12
88.13,38.01,30.12
88.02,37.93,30.42
89.75,38.31,29.62
88.1,37.8,30.35
87.7484,37.49,30.32
87.6,35.95,29.75
87.2036,35.9,30.12
87.25,35.3,30.0
86.79,35.55,30.1506
86.65,35.73,30.3
85.3,35.06,29.7
86.08,35.6784,30.05
87.4,36.0,30.78
87.0633,35.75,30.26
